"surveyPoint","easting","northing","depth","sp","cover"
"Q09",500000,5.33945e+006,3,"P. orchreatus",20
"Q10",500250,5.33945e+006,2.8,"Elodea",70
"Q10",500250,5.33945e+006,2.8,"P. orchreatus",30
"Q11",500500,5.33945e+006,2.9,"Elodea",85
"Q11",500500,5.33945e+006,2.9,"P. orchreatus",30
"Q12",500750,5.33945e+006,3,"Elodea",50
"Q12",500750,5.33945e+006,3,"P. orchreatus",50
"R06",499250,5.3392e+006,0.8,"Elodea",100
"R07",499500,5.3392e+006,2.2,"Elodea",90
"R07",499500,5.3392e+006,2.2,"P. orchreatus",20
"R08",499750,5.3392e+006,2.7,"Elodea",95
"R08",499750,5.3392e+006,2.7,"P. orchreatus",10
"R09",500000,5.3392e+006,2.6,"Elodea",85
"R09",500000,5.3392e+006,2.6,"P. orchreatus",15
"R10",500250,5.3392e+006,2.7,"Elodea",70
"R10",500250,5.3392e+006,2.7,"P. orchreatus",30
"R11",500500,5.3392e+006,2.5,"Elodea",80
"R11",500500,5.3392e+006,2.5,"P. orchreatus",40
"R12",500750,5.3392e+006,2.5,"Elodea",70
"R12",500750,5.3392e+006,2.5,"P. orchreatus",30
"S07",499500,5.33895e+006,1.5,"Elodea",95
"S08",499750,5.33895e+006,2.4,"Elodea",85
"S08",499750,5.33895e+006,2.4,"P. orchreatus",25
"S09",500000,5.33895e+006,2.4,"Elodea",80
"S09",500000,5.33895e+006,2.4,"P. orchreatus",30
"S10",500250,5.33895e+006,2.2,"Elodea",90
"S10",500250,5.33895e+006,2.2,"P. orchreatus",30
"S11",500500,5.33895e+006,0.7,"Elodea",30
"S11",500500,5.33895e+006,0.7,"P. ?australiensis",1
