Date and time,Dissolved Oxygen (DO %) (Percent Saturation),Quality,Interpolation type,Remarks
,,,,Disclaimer
,,,,Use of the information and data contained within this file is at your sole risk.
,,,,"The data is telemetered data, which is transmitted and published by automatic processes."
,,,,"The data is unchecked and may not be accurate, current or complete and it may contain errors."
,,,,Hydro Tasmania:
,,,,"  . makes no representations, either expressed or implied, as to the accuracy of the information and data contained in this file"
,,,,  . accepts no liability however arising for any loss resulting from the use of the information and data in this file or reliance placed on it; and
,,,,"  . makes no representations, either expressed or implied, as to the suitability of the said information and data for any particular purpose."
,,,,
,,,,Copyright 2014 Hydro Electric Corporation.
,,,,No part of this data may be copied to third parties without the
,,,,specific written consent of Hydro Tasmania.
,,,,Time-series interpolation types
,,,,"  InstVal = Instantaneous Value, linear interpolation between observations. For example continuous watercourse level."
,,,,  PrecVal = Preceeding period average value. For example daily avergae flow for the 1st day of Jan 2012 would have timestamp 02/01/2012 00:00
,,,,  PrecMax = Preceding period maximum value. For example maximum weekly watercourse discharge
,,,,  PrecMin = Preceding period minimum value. For example daily minimum temperature
,,,,  PrecTot = Preceding period total value. For example daily total rainfall for the 1st day of Jan 2012 would have date stamp 02/01/2012 00:00
,,,,"  InstTot = Instantaneous total, total value that ocurred at an event"
,,,,"  NoJoin  = Discontinuous value, collection occurs infrequently and interpolation or integration not possible"
,,,,"  SuccVal = Succeeding period Value, value holds until changed"
,,,,  PrecDir = Preceding period directional value.  For example wind direction
,,,,site = WOODS LAKE
,,,,location = WHMS W1 - IFC W1
,,,,latitude =  -42:04:52.1
,,,,longitude =  146:59:07.8
,,,,Property = Dissolved Oxygen (DO %)
26-03-2009 00:00,88.87917,unverified data,PrecVal,
27-03-2009 00:00,88.33958,unverified data,PrecVal,
28-03-2009 00:00,,missing data,PrecVal,
29-03-2009 00:00,,missing data,PrecVal,
30-03-2009 00:00,,missing data,PrecVal,
31-03-2009 00:00,,missing data,PrecVal,
01-04-2009 00:00,,missing data,PrecVal,
02-04-2009 00:00,,missing data,PrecVal,
03-04-2009 00:00,,missing data,PrecVal,
04-04-2009 00:00,89.10625,unverified data,PrecVal,
05-04-2009 00:00,88.02292,unverified data,PrecVal,
06-04-2009 00:00,87.4125,unverified data,PrecVal,
07-04-2009 00:00,86.08333,unverified data,PrecVal,
08-04-2009 00:00,86.96875,unverified data,PrecVal,
09-04-2009 00:00,87.98542,unverified data,PrecVal,
10-04-2009 00:00,88.62083,unverified data,PrecVal,
11-04-2009 00:00,89.29167,unverified data,PrecVal,
12-04-2009 00:00,90.56875,unverified data,PrecVal,
13-04-2009 00:00,89.72083,unverified data,PrecVal,
14-04-2009 00:00,89.32292,unverified data,PrecVal,
15-04-2009 00:00,89.15625,unverified data,PrecVal,
16-04-2009 00:00,86.99375,unverified data,PrecVal,
17-04-2009 00:00,85.625,unverified data,PrecVal,
18-04-2009 00:00,85.96458,unverified data,PrecVal,
19-04-2009 00:00,86.54583,unverified data,PrecVal,
20-04-2009 00:00,87.31042,unverified data,PrecVal,
21-04-2009 00:00,88.05,unverified data,PrecVal,
22-04-2009 00:00,88.35833,unverified data,PrecVal,
23-04-2009 00:00,88.50833,unverified data,PrecVal,
24-04-2009 00:00,88.1125,unverified data,PrecVal,
25-04-2009 00:00,87.09167,unverified data,PrecVal,
26-04-2009 00:00,86.7125,unverified data,PrecVal,
27-04-2009 00:00,85.46042,unverified data,PrecVal,
28-04-2009 00:00,84.25625,unverified data,PrecVal,
29-04-2009 00:00,84.725,unverified data,PrecVal,
30-04-2009 00:00,84.78125,unverified data,PrecVal,
01-05-2009 00:00,85.10625,unverified data,PrecVal,
02-05-2009 00:00,86.40833,unverified data,PrecVal,
03-05-2009 00:00,87.33333,unverified data,PrecVal,
04-05-2009 00:00,87.69375,unverified data,PrecVal,
05-05-2009 00:00,88.36667,unverified data,PrecVal,
06-05-2009 00:00,88.3625,unverified data,PrecVal,
07-05-2009 00:00,88.49167,unverified data,PrecVal,
08-05-2009 00:00,88.04167,unverified data,PrecVal,
09-05-2009 00:00,88.575,unverified data,PrecVal,
10-05-2009 00:00,88.57708,unverified data,PrecVal,
11-05-2009 00:00,88.26667,unverified data,PrecVal,
12-05-2009 00:00,89.09583,unverified data,PrecVal,
13-05-2009 00:00,89.9375,unverified data,PrecVal,
14-05-2009 00:00,88.80625,unverified data,PrecVal,
15-05-2009 00:00,87.325,unverified data,PrecVal,
16-05-2009 00:00,86.79792,unverified data,PrecVal,
17-05-2009 00:00,85.32083,unverified data,PrecVal,
18-05-2009 00:00,86.33542,unverified data,PrecVal,
19-05-2009 00:00,86.88486,unverified data,PrecVal,
20-05-2009 00:00,86.81458,unverified data,PrecVal,
21-05-2009 00:00,86.71458,unverified data,PrecVal,
22-05-2009 00:00,87.39167,unverified data,PrecVal,
23-05-2009 00:00,87.9625,unverified data,PrecVal,
24-05-2009 00:00,89.04375,unverified data,PrecVal,
25-05-2009 00:00,89.10833,unverified data,PrecVal,
26-05-2009 00:00,88.94583,unverified data,PrecVal,
27-05-2009 00:00,88.63958,unverified data,PrecVal,
28-05-2009 00:00,87.42917,unverified data,PrecVal,
29-05-2009 00:00,86.85833,unverified data,PrecVal,
30-05-2009 00:00,86.66458,unverified data,PrecVal,
31-05-2009 00:00,86.7875,unverified data,PrecVal,
01-06-2009 00:00,86.61875,unverified data,PrecVal,
02-06-2009 00:00,85.85208,unverified data,PrecVal,
03-06-2009 00:00,85.78542,unverified data,PrecVal,
04-06-2009 00:00,85.86875,unverified data,PrecVal,
05-06-2009 00:00,85.62083,unverified data,PrecVal,
06-06-2009 00:00,86.3375,unverified data,PrecVal,
07-06-2009 00:00,86.77083,unverified data,PrecVal,
08-06-2009 00:00,86.475,unverified data,PrecVal,
09-06-2009 00:00,86.05208,unverified data,PrecVal,
10-06-2009 00:00,85.24583,unverified data,PrecVal,
11-06-2009 00:00,85.29375,unverified data,PrecVal,
12-06-2009 00:00,86.12917,unverified data,PrecVal,
13-06-2009 00:00,86.33958,unverified data,PrecVal,
14-06-2009 00:00,86.29792,unverified data,PrecVal,
15-06-2009 00:00,86.2,unverified data,PrecVal,
16-06-2009 00:00,85.825,unverified data,PrecVal,
17-06-2009 00:00,85.75833,unverified data,PrecVal,
18-06-2009 00:00,85.9,unverified data,PrecVal,
19-06-2009 00:00,86.01042,unverified data,PrecVal,
20-06-2009 00:00,86.10208,unverified data,PrecVal,
21-06-2009 00:00,87.2375,unverified data,PrecVal,
22-06-2009 00:00,88.35,unverified data,PrecVal,
23-06-2009 00:00,88.30625,unverified data,PrecVal,
24-06-2009 00:00,88.26458,unverified data,PrecVal,
25-06-2009 00:00,88.14583,unverified data,PrecVal,
26-06-2009 00:00,88.05208,unverified data,PrecVal,
27-06-2009 00:00,87.6125,unverified data,PrecVal,
28-06-2009 00:00,87.78542,unverified data,PrecVal,
29-06-2009 00:00,87.63333,unverified data,PrecVal,
30-06-2009 00:00,87.54375,unverified data,PrecVal,
01-07-2009 00:00,87.43125,unverified data,PrecVal,
02-07-2009 00:00,86.54375,unverified data,PrecVal,
03-07-2009 00:00,85.8875,unverified data,PrecVal,
04-07-2009 00:00,85.53125,unverified data,PrecVal,
05-07-2009 00:00,86.25,unverified data,PrecVal,
06-07-2009 00:00,86.73125,unverified data,PrecVal,
07-07-2009 00:00,87.19792,unverified data,PrecVal,
08-07-2009 00:00,87.58125,unverified data,PrecVal,
